------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|      13  |      0  |      1.4170  |     0.7061  |   0.5870  |               |              0.5871  |
|          |      1  |      1.2949  |     0.7920  |   0.7260  |               |              0.9968  |
|          |      2  |      1.2324  |     0.8242  |   0.7523  |               |              1.4128  |
|          |      3  |      1.1543  |     0.8652  |   0.8006  |               |              1.7912  |
|          |      4  |      1.1934  |     0.8369  |   0.8383  |               |              2.1707  |
|          |      5  |      1.1006  |     0.9023  |   0.8540  |               |              2.5478  |
|          |      6  |      1.0537  |     0.9189  |   0.8822  |               |              2.9262  |
|          |      7  |      1.0195  |     0.9336  |   0.9031  |               |              3.3047  |
|          |      8  |      0.9771  |     0.9580  |   0.9197  |               |              3.6822  |
|          |      9  |      0.9600  |     0.9678  |   0.9310  |               |              4.0316  |
|          |   eval  |      0.9600  |     0.9678  |   0.9310  |       0.9378  |              4.2005  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4141  |     0.7188  |   0.6747  |               |              0.5032  |
|          |      1  |      1.2949  |     0.7881  |   0.7777  |               |              0.9140  |
|          |      2  |      1.2305  |     0.8262  |   0.7442  |               |              1.3266  |
|          |      3  |      1.1934  |     0.8428  |   0.8027  |               |              1.7032  |
|          |      4  |      1.1445  |     0.8594  |   0.8199  |               |              2.0823  |
|          |      5  |      1.0908  |     0.8887  |   0.8598  |               |              2.4604  |
|          |      6  |      1.0625  |     0.9092  |   0.8941  |               |              2.8392  |
|          |      7  |      1.0264  |     0.9316  |   0.8988  |               |              3.2179  |
|          |      8  |      0.9683  |     0.9629  |   0.9214  |               |              3.5943  |
|          |      9  |      0.9507  |     0.9736  |   0.9337  |               |              3.9442  |
|          |   eval  |      0.9507  |     0.9736  |   0.9337  |       0.9405  |              4.1137  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4863  |     0.6738  |   0.5794  |               |              0.5060  |
|          |      1  |      1.2314  |     0.8291  |   0.7694  |               |              0.9162  |
|          |      2  |      1.2148  |     0.8330  |   0.8044  |               |              1.3300  |
|          |      3  |      1.1533  |     0.8691  |   0.8472  |               |              1.7072  |
|          |      4  |      1.1484  |     0.8555  |   0.8298  |               |              2.0861  |
|          |      5  |      1.1143  |     0.8672  |   0.8436  |               |              2.4651  |
|          |      6  |      1.0420  |     0.9307  |   0.8991  |               |              2.8427  |
|          |      7  |      1.0117  |     0.9424  |   0.8981  |               |              3.2228  |
|          |      8  |      0.9746  |     0.9648  |   0.9234  |               |              3.5997  |
|          |      9  |      0.9512  |     0.9727  |   0.9319  |               |              3.9478  |
|          |   eval  |      0.9512  |     0.9727  |   0.9319  |       0.9395  |              4.1173  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4492  |     0.7051  |   0.5966  |               |              0.5047  |
|          |      1  |      1.2578  |     0.8037  |   0.7685  |               |              0.9150  |
|          |      2  |      1.2100  |     0.8369  |   0.8009  |               |              1.3294  |
|          |      3  |      1.1768  |     0.8564  |   0.8508  |               |              1.7076  |
|          |      4  |      1.1289  |     0.8789  |   0.8604  |               |              2.0874  |
|          |      5  |      1.0918  |     0.9043  |   0.8593  |               |              2.4655  |
|          |      6  |      1.0449  |     0.9189  |   0.8843  |               |              2.8439  |
|          |      7  |      1.0508  |     0.9131  |   0.8832  |               |              3.2219  |
|          |      8  |      0.9785  |     0.9541  |   0.9222  |               |              3.6010  |
|          |      9  |      0.9502  |     0.9727  |   0.9308  |               |              3.9504  |
|          |   eval  |      0.9502  |     0.9727  |   0.9308  |       0.9382  |              4.1190  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4277  |     0.7129  |   0.5632  |               |              0.4994  |
|          |      1  |      1.2686  |     0.8066  |   0.7888  |               |              0.9109  |
|          |      2  |      1.2520  |     0.8135  |   0.7369  |               |              1.3248  |
|          |      3  |      1.1631  |     0.8682  |   0.8306  |               |              1.7028  |
|          |      4  |      1.1367  |     0.8770  |   0.8525  |               |              2.0839  |
|          |      5  |      1.0879  |     0.9062  |   0.8784  |               |              2.4627  |
|          |      6  |      1.0498  |     0.9219  |   0.8943  |               |              2.8406  |
|          |      7  |      1.0283  |     0.9297  |   0.8976  |               |              3.2190  |
|          |      8  |      0.9751  |     0.9590  |   0.9156  |               |              3.5967  |
|          |      9  |      0.9424  |     0.9736  |   0.9339  |               |              3.9457  |
|          |   eval  |      0.9424  |     0.9736  |   0.9339  |       0.9386  |              4.1141  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4922  |     0.6768  |   0.4670  |               |              0.5045  |
|          |      1  |      1.2910  |     0.7910  |   0.7741  |               |              0.9165  |
|          |      2  |      1.1904  |     0.8525  |   0.7144  |               |              1.3305  |
|          |      3  |      1.1641  |     0.8516  |   0.8166  |               |              1.7095  |
|          |      4  |      1.1260  |     0.8818  |   0.8739  |               |              2.0892  |
|          |      5  |      1.0879  |     0.8994  |   0.8562  |               |              2.4690  |
|          |      6  |      1.0557  |     0.9033  |   0.8745  |               |              2.8475  |
|          |      7  |      1.0244  |     0.9277  |   0.8940  |               |              3.2277  |
|          |      8  |      0.9819  |     0.9570  |   0.9213  |               |              3.6064  |
|          |      9  |      0.9429  |     0.9824  |   0.9327  |               |              3.9583  |
|          |   eval  |      0.9429  |     0.9824  |   0.9327  |       0.9422  |              4.1274  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4189  |     0.7275  |   0.6367  |               |              0.5014  |
|          |      1  |      1.2588  |     0.8154  |   0.7837  |               |              0.9123  |
|          |      2  |      1.1846  |     0.8516  |   0.7823  |               |              1.3265  |
|          |      3  |      1.1631  |     0.8623  |   0.8231  |               |              1.7058  |
|          |      4  |      1.1318  |     0.8799  |   0.8449  |               |              2.0855  |
|          |      5  |      1.0908  |     0.8955  |   0.8439  |               |              2.4628  |
|          |      6  |      1.0508  |     0.9189  |   0.8705  |               |              2.8408  |
|          |      7  |      1.0449  |     0.9131  |   0.8985  |               |              3.2210  |
|          |      8  |      0.9692  |     0.9570  |   0.9230  |               |              3.5999  |
|          |      9  |      0.9429  |     0.9785  |   0.9352  |               |              3.9475  |
|          |   eval  |      0.9429  |     0.9785  |   0.9352  |       0.9393  |              4.1149  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4268  |     0.7002  |   0.6486  |               |              0.5039  |
|          |      1  |      1.2812  |     0.7871  |   0.6857  |               |              0.9149  |
|          |      2  |      1.1943  |     0.8438  |   0.7528  |               |              1.3295  |
|          |      3  |      1.1807  |     0.8467  |   0.8168  |               |              1.7081  |
|          |      4  |      1.1367  |     0.8662  |   0.8098  |               |              2.0860  |
|          |      5  |      1.1182  |     0.8818  |   0.8288  |               |              2.4641  |
|          |      6  |      1.0537  |     0.9160  |   0.8912  |               |              2.8423  |
|          |      7  |      1.0225  |     0.9316  |   0.8928  |               |              3.2212  |
|          |      8  |      0.9912  |     0.9580  |   0.9223  |               |              3.5998  |
|          |      9  |      0.9468  |     0.9746  |   0.9323  |               |              3.9479  |
|          |   eval  |      0.9468  |     0.9746  |   0.9323  |       0.9397  |              4.1157  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4414  |     0.6973  |   0.6319  |               |              0.5051  |
|          |      1  |      1.2949  |     0.7881  |   0.6168  |               |              0.9161  |
