------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      4  |      1.1436  |     0.8623  |   0.8620  |               |              2.0924  |
|          |      5  |      1.0771  |     0.9023  |   0.8690  |               |              2.4707  |
|          |      6  |      1.0605  |     0.9131  |   0.8819  |               |              2.8511  |
|          |      7  |      1.0273  |     0.9209  |   0.9018  |               |              3.2307  |
|          |      8  |      0.9707  |     0.9619  |   0.9270  |               |              3.6099  |
|          |      9  |      0.9399  |     0.9795  |   0.9363  |               |              3.9594  |
|          |   eval  |      0.9399  |     0.9795  |   0.9363  |       0.9418  |              4.1276  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4375  |     0.6934  |   0.6574  |               |              0.5020  |
|          |      1  |      1.2529  |     0.8135  |   0.7835  |               |              0.9143  |
|          |      2  |      1.1807  |     0.8506  |   0.7722  |               |              1.3307  |
|          |      3  |      1.1777  |     0.8477  |   0.8180  |               |              1.7105  |
|          |      4  |      1.1279  |     0.8740  |   0.8529  |               |              2.0912  |
|          |      5  |      1.0918  |     0.8818  |   0.8340  |               |              2.4706  |
|          |      6  |      1.0576  |     0.9072  |   0.8984  |               |              2.8511  |
|          |      7  |      1.0273  |     0.9355  |   0.9015  |               |              3.2306  |
|          |      8  |      0.9702  |     0.9590  |   0.9255  |               |              3.6098  |
|          |      9  |      0.9521  |     0.9736  |   0.9351  |               |              3.9604  |
|          |   eval  |      0.9521  |     0.9736  |   0.9351  |       0.9402  |              4.1302  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4150  |     0.7266  |   0.6883  |               |              0.5045  |
|          |      1  |      1.3008  |     0.7754  |   0.7051  |               |              0.9157  |
|          |      2  |      1.2197  |     0.8389  |   0.7911  |               |              1.3313  |
|          |      3  |      1.1816  |     0.8398  |   0.8409  |               |              1.7105  |
|          |      4  |      1.1172  |     0.8809  |   0.8233  |               |              2.0914  |
|          |      5  |      1.0820  |     0.9072  |   0.8823  |               |              2.4699  |
|          |      6  |      1.0459  |     0.9248  |   0.9005  |               |              2.8495  |
|          |      7  |      1.0244  |     0.9346  |   0.8925  |               |              3.2305  |
|          |      8  |      0.9565  |     0.9678  |   0.9255  |               |              3.6095  |
|          |      9  |      0.9502  |     0.9746  |   0.9324  |               |              3.9599  |
|          |   eval  |      0.9502  |     0.9746  |   0.9324  |       0.9402  |              4.1290  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4375  |     0.7012  |   0.6823  |               |              0.5030  |
|          |      1  |      1.2676  |     0.7998  |   0.6413  |               |              0.9158  |
|          |      2  |      1.1875  |     0.8506  |   0.8159  |               |              1.3311  |
|          |      3  |      1.1387  |     0.8799  |   0.8411  |               |              1.7106  |
|          |      4  |      1.1250  |     0.8779  |   0.8709  |               |              2.0923  |
|          |      5  |      1.0889  |     0.9004  |   0.8658  |               |              2.4717  |
|          |      6  |      1.0322  |     0.9268  |   0.8930  |               |              2.8515  |
|          |      7  |      1.0166  |     0.9385  |   0.8913  |               |              3.2323  |
|          |      8  |      0.9731  |     0.9590  |   0.9255  |               |              3.6119  |
|          |      9  |      0.9375  |     0.9795  |   0.9318  |               |              3.9623  |
|          |   eval  |      0.9375  |     0.9795  |   0.9318  |       0.9384  |              4.1318  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4170  |     0.7227  |   0.6557  |               |              0.5056  |
|          |      1  |      1.2305  |     0.8145  |   0.6419  |               |              0.9171  |
|          |      2  |      1.2227  |     0.8320  |   0.7890  |               |              1.3323  |
|          |      3  |      1.1533  |     0.8623  |   0.8022  |               |              1.7127  |
|          |      4  |      1.1553  |     0.8535  |   0.8338  |               |              2.0923  |
|          |      5  |      1.0879  |     0.8838  |   0.8441  |               |              2.4710  |
|          |      6  |      1.0508  |     0.9199  |   0.8806  |               |              2.8525  |
|          |      7  |      1.0244  |     0.9375  |   0.9022  |               |              3.2323  |
|          |      8  |      0.9575  |     0.9678  |   0.9178  |               |              3.6110  |
|          |      9  |      0.9429  |     0.9775  |   0.9342  |               |              3.9613  |
|          |   eval  |      0.9429  |     0.9775  |   0.9342  |       0.9421  |              4.1305  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4248  |     0.7119  |   0.7058  |               |              0.5041  |
|          |      1  |      1.2070  |     0.8506  |   0.7735  |               |              0.9151  |
|          |      2  |      1.1797  |     0.8525  |   0.7870  |               |              1.3302  |
|          |      3  |      1.1777  |     0.8535  |   0.8168  |               |              1.7089  |
|          |      4  |      1.1289  |     0.8721  |   0.8349  |               |              2.0910  |
|          |      5  |      1.0918  |     0.8945  |   0.8445  |               |              2.4701  |
|          |      6  |      1.0410  |     0.9229  |   0.8894  |               |              2.8507  |
|          |      7  |      1.0166  |     0.9414  |   0.9080  |               |              3.2314  |
|          |      8  |      0.9761  |     0.9570  |   0.9231  |               |              3.6097  |
|          |      9  |      0.9380  |     0.9814  |   0.9316  |               |              3.9604  |
|          |   eval  |      0.9380  |     0.9814  |   0.9316  |       0.9406  |              4.1293  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4727  |     0.6758  |   0.6448  |               |              0.5031  |
|          |      1  |      1.2578  |     0.8086  |   0.7698  |               |              0.9155  |
|          |      2  |      1.2217  |     0.8232  |   0.7674  |               |              1.3305  |
|          |      3  |      1.1445  |     0.8672  |   0.8269  |               |              1.7107  |
|          |      4  |      1.1270  |     0.8760  |   0.8131  |               |              2.0923  |
|          |      5  |      1.1240  |     0.8721  |   0.8624  |               |              2.4715  |
|          |      6  |      1.0361  |     0.9219  |   0.8944  |               |              2.8515  |
|          |      7  |      1.0234  |     0.9238  |   0.9089  |               |              3.2327  |
|          |      8  |      0.9604  |     0.9658  |   0.9220  |               |              3.6123  |
|          |      9  |      0.9443  |     0.9717  |   0.9314  |               |              3.9624  |
|          |   eval  |      0.9443  |     0.9717  |   0.9314  |       0.9416  |              4.1321  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.3984  |     0.7422  |   0.6239  |               |              0.5064  |
|          |      1  |      1.2646  |     0.8154  |   0.7399  |               |              0.9190  |
